Index,NewsID,DeclareDate,Title,NewsContent,情绪
8800,65817463,2016-01-05,注册制来了 新三板牛企或跑了,　　千呼万唤始出来，A股市场的注册制改革终于落地在即。  　　2015年12月27日，第十二届全国人民代表大会常务委员会第十八次会议审议通过了《关于授权国务院在实施股票发行注册制改革中调整适用〈中华人民共和国证券法〉有关规定的决定》，明确授权国务院根据股票发行注册制改革的要求调整适用现行《中华人民共和国证券法》关于股票核准制的规定，对注册制改革的具体制度作出专门安排，并报全国人大常委会备案。  　　此决定的实施期限为两年，自2016年3月1日施行。证监会表示，这一决定的通过，标志着推进股票发行注册制改革具有了明确的法律依据。  　　随着注册制推进，其对于新三板市场的影响再次引发市场热议。业内人士认为，注册制推出后，一部分优质企业将由新三板市场流向主板市场，虽然一定程度上会冲击新三板，但多层次的资本市场也将更加完善。  　　优质企业或外流  　　证监会指出，实施注册制，就是要真正建立起市场参与各方各负其责的责任体系，建立健全“宽进严管、放管结合”的新体制，突出强调切实保护投资者的合法权益，严格规范市场参与各方的权利义务，通过职责清晰、监管有力的法律责任规范，建立起强有力的法律约束机制。因此，注册制改革绝不是简单地下放审核权力，而是监管方式的根本转变。  　　实施注册制以后，对股票发行审核的理念和方式将会发生很大变化，审核的重点在于信息披露的齐备性、一致性和可理解性，不再对企业发展前景和投资价值作判断，信息披露的真实性、准确性、完整性均由发行人和中介机构负责。  　　如今，注册制进程已有了清晰的时间表，多位受访的投行人士表示，会将工作重心从新三板移回主板市场，而注册制落地后，新三板市场会受到一定程度的冲击。  　　上海一位长期关注新三板市场的私募负责人对时代周报记者表示：“实际上目前一部分挂牌新三板的企业是因为之前核准制下，上市门槛高、审核时间长、排队时间遥遥无期才转投新三板，对于类似的拟上市公司，新三板就失去了吸引力。”  　　上述人士同时指出，成交量高的优质企业在注册制之后可能会外流。“新三板的吸引力主要是门槛低、上市快，缺点是成交不活跃，融资能力差。主板虽然门槛高但交易量大，登陆主板意味着更高的估值。注册制后，一个企业只要能在A股挂牌的，基本上不会去新三板。而这些可以去主板、创业板的公司基本上都是新三板的优质企业。”  　　值得一提的是，2015年以来，新三板得到爆发式增长，但由于企业整体资质、投资门槛高等原因，新三板目前充斥着大量“僵尸股”。根据全国中小企业股份转让系统数据显示，截至12月31日，新三板挂牌企业共有5129家，但数据显示，80%的公司至今没有成交量。  　　东吴证券一位新三板人士对时代周报记者表示：“实际上所谓的‘僵尸股’并没有这么多，这里面有一半以上的企业是2015年挂牌的，按照规定这些股票一年内是不能转让的，因此这种大面积零成交的情况随着时间和之后的发展会得到缓解。但不管怎么说，新三板由于制度设计和体量等原因，其流动性是不可能与A股相比的，新三板本身设计的初衷是为了培育企业而不是为了流动性。”  　　“但流动性又是非常重要的，流动性不高就无法更好地融资，认购定增的投资者如果不能有很好的退出渠道，定增的价格就不会很高。优秀的融资环境需要一整个融资生态体系，包括好的监管制度、交易制度以及优质的企业等。”上述人士进一步表示，“而新三板的投融资环境还需要进一步完善优化。虽然目前新三板分层已经推出，新三板的吸引力也在逐步提升，但其本身的设计其实是留不住一些优质企业的。”  　　无门槛仍具比较优势  　　不过，多位受访人士认为，注册制推出虽然一定程度上会冲击新三板，但同时多层次资本市场也将更完善。  　　华泰证券一位投行人士对时代周报记者表示，“短期看，新三板的一些优质企业会因为注册制落地而流失，但长期看会使得新三板的定位更清晰明确，成为多层次的资本市场上重要的一层。毕竟新三板几乎是无门槛的，比如那些急需融资的高新技术企业，在不盈利的情况下也可以挂牌新三板进行融资，而这在主板是不可能的。”  　　民生证券认为，新三板和主板的定位不一样，新三板定位于为服务中小微、尚未盈利、属于新兴产业的企业提供融资服务。在注册制实施后，企业上市即便不再以盈利为导向，但可能还是会对业绩有一定的门槛，而新三板作为一个无门槛的低一级市场仍具备比较优势。  　　目前，国内多层次资本市场的雏形已经建立起来，而不论是创业板、新三板还是战略新兴板，均有部分重叠之处，但它们的分层分级的核心要求是不同的，面对的企业群也有所区别。因此业内人士认为，注册制即使推出，也不会对新三板造成过大的影响。  　　兴业证券分析师纪云涛指出，“一方面注册制下的IPO不会大扩容；另一方面不同交易所的业务难免会有一定重叠，但是每个交易所都有自己独特的市场定位，除了能否IPO之外，融资、交易、信批和监管制度也是企业需要考虑的，相互匹配最重要”。  　　值得一提的是，上述华泰证券人士认为，注册制推出后，A股市场的高估值会逐渐降低，“新三板实际上就是注册制的雏形，而随着注册制实施，A股市场将由‘严进宽出’变成新三板模式的‘宽进严出’，A股市场的高估值可能会逐渐回归理性”。  　　不过，上海一家大型私募合伙人对时代周报记者表示，“美国已经实行注册制多年，但其市场上很多股票的估值仍然非常高，注册制不会必然导致估值降低，而是会导致内部分化，好股票会备受追捧，垃圾股则会变得一文不值”。  　　此外，真正意义上的注册制需要完善的信息披露、健全的法律制度、科学的新股定价制度、严格的退出制度。中信证券认为，新三板有助于解决主板退市制度的后顾之忧，对于推动主板退市制度的实施具有积极的意义。,正向
8801,65817465,2016-01-05,康达尔股权争夺白热化 京基集团回复深交所关注函,"　　在深交所连发三函关注之后，京基集团终于在最后期限就相关问题向深交所回复。康达尔（000048）1月5日午间公告，京基集团、林志、王东河对深圳证券交易下发的关注函正式进行回应。京基集团在回复函中表示不存在借用自然人证券账户的情形。此前，深交所要求康达尔和京基集团在1月5日前就相关情况作出详细说明。 　　对于“林志及其操控买入康达尔股票的13个账户，背后的实际操掌控者均为京基集团有限公司”的说法，京基集团方面表示，2015年8月31日前，林志及其控制的13个账户买入康达尔股票与京基集团无关。2015年8月31日，林志与京基集团形成一致行动关系，上述情况已经按照相关规定进行信息披露。 　　而对于“京基方面实际控制的康达尔股权有多少，是否已超过24.74%”的疑问，京基集团表示，继京基集团、林志及王东河作为一致行动人于2015年9月7日披露《详式权益变动报告书》后至2015年12月28日期间，京基集团通过深圳证券交易所交易系统增持深圳市康达尔（集团）股份有限公司4.92%股份，并未达到权益变动披露标准。 　　另外，12月29日，京基集团与林志、陈浩南、凌建兴、刘彬彬、谭帝土、邱洞明、赵标就、温敏、杨开金、陈木兰签署了《股份转让协议》，京基集团通过协议方式受让康达尔股份 63,582,368 股（占康达尔总股本的16.27%）。本次股份转让为一致行动人之间股份协议转让，一致行动人合计持有的康达尔股份数量和比例未发生变动。也就是说，本次权益变动后，京基集团、林志、王东河作为一致行动人将持有康达尔股份1.15亿股，占康达尔总股本已达29.68%。 　　另外，京基集团方面对相关一致行动人的关系也进行说明。此前，有说法称“除林志以外，其余12人均为京基集团旗下中低层员工”。对此，京基集团方面在回复函中表示，其中2人是京基集团员工，据林志反映，上述员工与林志很早就认识，是很好的朋友。其中，京基集团之前的监事陈浩斌已于2011年11月因个人原因提出辞职，并于2015年9月7日前已经办理完毕离职手续。京基集团正在办理相关工商变更登记手续。 　　但京基集团方面同时澄清称，与京基集团形成一致行动关系的股东已经进行了披露，其余股东购买康达尔股票与京基集团无关。京基集团未通过资管计划购买康达尔股票，目前也没有通过资管计划增持的安排。",中性
8802,65817468,2016-01-05,美国最大矿业公司的超级铜矿即将启动,　　据华尔街日报5日消息，美国最大矿业公司的超级铜矿即将启动，成为工业资源供应领域的一股新力量，这一超级铜矿项目可能将矿商拖入更深的困境，铜价也再度面临利空。 　　据悉，Freeport-McMoRan Inc.正在完成一项规模46亿美元、持续数年的扩张计划，其赛洛维德(CerroVerde)铜矿的产量将增加两倍，将转变为全球五大铜生产商之一。 　　A股市场上，关注江西铜业、云南铜业等上市公司。,负向
8803,65817470,2016-01-05,瑞银证券：一季度望迎红利 大跌不会延续,　　2016年首个交易日，沪深300连续触发两级熔断阈值。对此，瑞银证券中国首席策略分析师高挺发表报告表示，昨日午后的抛售更多地是由于市场心理不稳定所造成的，而熔断机制在一定程度上放大了市场的恐慌情绪，预期这样的大跌不会延续。 　　沪深300连续触发两级熔断阈值。2016年首个交易日，A股开盘即走弱。午盘开市后13分钟沪深300指数触发-5%的一级熔断阈值，休市15分钟后，又于13：34分触及-7%的二级熔断，三大交易所暂停交易直至收市。截至收盘，上证综指下跌6.86%，创业板/中小板分别下跌8.21%/8.23%，两市共计1318只个股跌停，仅41只个股上涨。 　　熔断机制或在一定程度上增大了抛压。从全天的走势来看，早盘大部分时间沪深300跌幅都徘徊在-4%附近，而下午触发一级熔断复盘后，短短6分钟里跌幅就从5%扩大到了7%，同时成交额迅速放量（沪深300成分最后6分钟成交约165亿、占全天成交额11%）。从这个角度看，瑞银证券认为，熔断机制很可能对投资者的心理层面造成了一定压力，对流动性的担忧促使投资者加快了抛售，进而加剧了最后的下跌。 　　短期情绪面因素叠加诱发下跌 　　不必过分悲观。瑞银证券表示，在大股东减持禁令即将到期、年初机构调仓、经济数据（PMI）不达预期、新股供应等因素的共同作用下，市场面临一定的下行压力。但是这些因素并不能构成大跌的充分条件。昨日午后的抛售更多地是由于市场心理不稳定所造成的，而熔断机制在一定程度上放大了市场的恐慌情绪，导致过度反应。因此，并不认为这样的大跌会延续。 　　一季度有望迎来改革政策红利。瑞银证券对一季度看法偏正面。随着两会召开、“十三五”规划出台，认为改革政策红利有望集中释放，支持A股估值水平缓步提升。当然，考虑到股市风险偏好短期很难迅速回升，小盘股高估值也可能会受到业绩不达预期的制约，市场总体上行空间可能较为有限。,负向
8804,65817473,2016-01-05,PE挂牌新三板遭封杀 任性融资的“罪与罚”,　　除九鼎投资和中科招商之外，硅谷天堂、明石创新、同创伟业、信中利、浙商创投、久银控股和思考投资等私募基金管理机构，2015年的融资金额达到309.1亿元，相当于新三板在过去一年完成总募资额的24.68%。  　　PE任性融资的时代已经一去不复返。  　　2015年12月25日，证监会副主席方星海在国务院新闻办公室召开的新闻吹风会上，证实了监管层叫停私募股权投资机构挂牌新三板的说法，还表示不仅暂停了挂牌，同时还暂停了融资。此外，证监会还将对不限于PE的新三板挂牌企业前期融资的使用情况开展调研。2015年12月29日，部分新三板企业已陆续收到通知。  　　太平洋证券副总裁、企巢新三板学院院长程晓明在接受时代周报记者的采访时表示，挂牌PE、VC在新三板的锋芒太大，吸引了过多的眼光，使得外界对新三板的定位产生了质疑；且融资金额太大，资金并没有完全用于挂牌公司的发展，而是拿来干别的事情。  　　从私募基金管理机构到金控平台，九鼎投资是新三板上最典型的案例；上市不足一年的中科招商也变身“举牌专业户”。而这两者并非孤例，包括思考投资（831896）在内的挂牌私募也通过新三板融资，上演着眼花缭乱的资本运作。  　　目前新三板拟挂牌的股权投资机构还有20多家，证监会监管措施出台之后，将何去何从？中国新三板投资联盟有限公司创始合伙人许小恒向时代周报记者分析认为，此次证监会暂停投资机构挂牌肯定是暂时的，待监管制度完善之后仍会放开。  　　暂停PE挂牌并自查  　　继暂停PE融资及挂牌之后，证监会还对已挂牌新三板的企业进行自查。  　　方星海在新闻吹风会上表示，2015年以来，私募基金管理机构在新三板市场上频繁融资，融资金额和投向引起了社会广泛关注和质疑，需要加强对此类私募基金管理机构的监管。暂停私募基金管理机构在全国股转系统挂牌和融资之后，将对前期融资的使用情况开展调研。  　　《国务院关于全国中小企业股份转让系统有关问题的决定》明确全国中小企业股份转让系统是经国务院批准，依据证券法设立的全国性证券交易场所，主要为创新型、创业型、成长型中小微企业直接融资服务。  　　许小恒向时代周报记者表示，私募机构在新三板频繁融资圈钱，并非用于实体经济，而是将资金用于拓展自己的帝国板块，甚至进入二级市场套利以及举牌A股上市公司，这与国家支持新三板市场发展的初衷不一致。PE赚得盆满钵满，而很多实体企业上了新三板被饿得嗷嗷待哺，变成僵尸股，长此以往，有点本末倒置。  　　2015年12月29日，证监会已经开始对挂牌公司融资的使用情况展开调查，部分新三板企业已从券商处收到《关于证监局抽查部分挂牌公司的重要通知》。通知内容为：“证监会及其辖属证监局自2015年12月25日-2016年1月25日对挂牌公司进行专项现场检查，筛选公司标准为：曾经股票发行金额1亿元以上的公司。”　　  　　据时代周报记者了解，检查的主体是融资1亿元以上的挂牌公司，并不限于PE类公司，少数融资几千万元的公司也在检查范围之内。　　  　　根据wind数据梳理，截至2015年12月31日，共有5129家挂牌公司，该年以来发行融资额超过1亿元的共有172家，约占当前挂牌企业总量的3%。此外，融资5000万-1亿元的有252家，融资3000万-5000万的有311家。这意味着，将有接近200家公司接受抽查。  　　据悉，股转系统早在一个月前便曾经两次下发通知，要求今年以来所有有过发行融资记录的企业，就“大股东占款及提前使用定增资金”的违法违规行为进行自查。　　  　　程晓明告诉时代周报记者，接下来，企业挂牌新三板将会更加严格，融资频率和融资规模将会受到严格控制，且募集资金必须用于投向新三板，而证监会此次的检查也主要是这一方面。  　　PE频繁融资惹质疑  　　一直以来，PE机构在新三板的融资颇受市场关注，而九鼎集团和中科招商更是新三板市场的焦点。  　　最早登陆新三板的PE机构九鼎投资，在不到两年的时间内总市值已经膨胀至1025亿元。2014年4月，九鼎投资挂牌即定增，募集资金35亿元，当年8月，九鼎投资再次募资22亿元。2015年5月，其宣布以每股15-25元的价格发行5亿元新股。当年11月初，九鼎集团完成这笔规模为100亿元的资金募集。几天之后，九鼎投资又公布了300亿元的定增计划。  　　中科招商在去年3月登陆新三板后，已通过4轮定增融资约120亿元。去年9月，中科招商更是抛出了300亿元的巨额融资计划，首次创下新三板有史以来最大规模的定增。  　　“然而，这些机构在新三板获得的融资并没有投向实体经济，而用于资本运作，部分挂牌新三板的PE机构在频繁举牌A股上市公司。”程晓明向时代周报记者表示。  　　自去年7月以来被称为“举牌王”的中科招商，于二级市场迅速举牌了10多家上市公司，包括宝诚股份（600892）、朗科科技（300042）、国农科技（000004.SZ）、沙河股份（000014.SZ）、丰乐种业000713.SZ）等。  　　按照该公司董事长单祥双的表述，未来5年，其将控股或持股50家左右上市公司，作为中科招商布局产业的资本平台。2015年12月22日，中科招商再次停牌，筹划收购上市公司股权。  　　而九鼎投资的眼光不再仅仅是投资企业，而是在银行、保险、券商、基金等各个方向全面布局，打造综合金融服务平台。  　　一年来，九鼎投资动作频频：出资设立九泰基金、对天源证券增资并取得了控股权、设立九鼎国际GP公司投资美国房地产及美国私募股权基金、收购多家保险机构，通过增资控股券商牌照、设立公募基金管理机构等。  　　2015年12月15日，九鼎投资发布公告，宣布由“九鼎投资”更名为“九鼎集团”。目前，九鼎集团拥有一家A股上市公司中江地产（600053.SH）和新三板挂牌公司九信资产（831400），九信资产的前身为挂牌企业优博创，未来也将成为九鼎大资管版图的一部分。  　　除九鼎投资和中科招商之外，硅谷天堂（833044）、明石创新（832924）、同创伟业（832793）、信中利（833858）、浙商创投（834089）、久银控股（833998）和思考投资等私募基金管理机构，2015年的融资金额达到309.1亿元，相当于新三板在过去一年完成总募资额的24.68%。  　　去年7月，与思考投资存在一致行动关系的5只基金、信托产品购入园城黄金（600766.SH）股票1169.84万股，占园城黄金总股本比例为5.21%。  　　20多家PE挂牌受阻  　　在暂停PE挂牌前夕，天星资本很幸运地获得了挂牌同意函，但自2015年12月14日该公司收到股转系统同意挂牌的函后，何时正式挂牌仍是未知数。  　　股转系统数据显示，目前仍有25家在审申请挂牌的投资机构，包括君联资本、中信资本、华软资本、朱雀投资、申毅投资和隆领投资等在内的私募机构已经在股转公司发布了转让书，进入了冲刺阶段，如今挂牌进程已戛然而止。  　　隆领投资创始人蔡文胜曾在接受时代周报记者采访时表示，隆领投资挂牌新三板的原因是，在当前 “大众创新、万众创业”的国家大战略下，希望隆领投资可以通过资本化去帮助更多的创业者。  　　然而，挂牌PE在新三板已经开了一个“坏头”。“事实上，在证监会下令之前，股转系统方面已经对股权投资机构挂牌新三板有所限制了。”程晓明告诉时代周报记者。  　　时代周报记者致电多家拟挂牌转让私募机构，咨询证监会暂停PE挂牌新三板之后的动向，其相关负责人均对此不予置评。  　　不过程晓明向时代周报记者分析称，PE、VC挂牌新三板本身是没问题的，新三板应该以创新型企业为主体，但是股权投资机构的挂牌是必要的，因为投资是创新体系很重要的一环，待监管制度完善之后仍会放开。  　　许小恒向时代周报记者表示：“目前限制PE融资主要针对新三板，毕竟新三板与A股在发行制度存在差别，新三板融资主要通过定增，储架发行制度，即一次核准，多次发行的再融资制度。”,
8805,65817475,2016-01-05,今日沪指跌1.21% 计算机行业跌幅最大,　　证券时报股市大数据新媒体“数据宝”统计，截至下午14:00，今日沪指涨幅-1.21%，A股成交量405.53亿股，成交金额5932.16亿元，比上一个交易日减0.22%。个股方面，446只个股上涨，其中非ST股涨停39只，2081只个股下跌，其中非ST股跌停62只。从申万行业来看，钢铁、国防军工、银行等涨幅最大，涨幅分别为2.48%、1.58%、0.18%；计算机、传媒、综合等跌幅最大，跌幅分别为-5.22%、-5.01%、-4.80%。（数据宝）  　　今日各行业表现（截至下午14:00） 申万行业行业涨跌（%）成交额（亿元）比上日（%）领涨（跌）股涨跌幅（%） 钢铁2.4887.1124.42安阳钢铁10.17 国防军工1.58147.77-9.71航天通信9.99 银行0.18102.08-5.56农业银行1.28 家用电器-0.36112.694.34德奥通航-10.00 食品饮料-0.63134.107.26双塔食品-10.01 采掘-0.7693.95-2.24西藏矿业-9.63 非银金融-1.04285.48-6.53经纬纺机-9.61 公用事业-1.57172.16-1.01滨海能源-9.96 建筑装饰-1.87123.14-1.97中泰桥梁-8.94 农林牧渔-1.90127.5810.22万福生科-9.99 通信-2.22188.745.15新海宜-10.02 汽车-2.34211.66-4.33广东鸿图-10.00 有色金属-2.39239.96-0.27天齐锂业-10.00 交通运输-2.44182.40-4.02怡亚通-9.34 房地产-2.55340.36-1.12渝开发-10.04 纺织服装-2.80134.21-1.81奥特佳-9.99 医药生物-2.81393.900.59楚天科技-10.00 化工-2.82403.38-5.58辉丰股份-10.01 轻工制造-2.98181.965.48盛通股份-10.01 建筑材料-3.06101.2814.30海南瑞泽-9.80 电气设备-3.08289.40-3.36麦迪电气-10.01 商业贸易-3.15167.51-5.92新华锦-9.99 休闲服务-3.3552.659.00大连圣亚-9.99 电子-3.37376.400.13通富微电-10.01 机械设备-3.39393.47-0.84神开股份-10.01 综合-4.80101.51-0.49九鼎投资-10.00 传媒-5.01276.956.11中文在线-10.00 计算机-5.22486.342.55聚龙股份-10.01,负向
8806,65817484,2016-01-05,评论：大时代 “老炮儿”王石迟早会被人们忘记,　　随着房地产去库存化时代的到来，以及中国各行各业进入快速挑战与转型，房地产业的特殊地位，以及相应的政商关系，这种关系中资本与资本的关系，都已“大江东去”，从此“一去不复返”。  　　大概嫌“万宝之争”还欠缺高潮，所以年底娱乐界用《老炮儿》补上完美注脚。王石的角色，与冯小刚在《老炮儿》中扮演的“六爷”如此相似，已不是隐喻，而是明喻。  　　这是一个大时代。“一个时代正在结束”，不仅发生在商界。反过来可以借此预言，此刻仅是开始，大时代的震荡与人生周期的耦合，正撕开后世能见的分野。  　　很多人在电影院里为“老炮儿”、那位坚持“江湖规矩”的悲情英雄流下了热泪。在他被有高官背景的江湖后进扇耳光时，在他抽出军刀穿上军服准备“同归于尽”时，甚至在他面对（年龄相对而言的）小女生时……电影院里的人们，纷纷假装知道丧钟为谁而鸣。  　　在“宝万之争”中，王石也获得了足够多的同情分。他没费多大力气就把自己塑造成了悲情英雄。一个“有规矩、有情怀、有知识、有生活”的“四有”企业家，被一个“家门口的野蛮人”、据称“诚信不足”的商界新贵下了黑手。感谢互联网时代，让我们可以更容易读懂中国。尽管有足够多的悲情加分，但无论是“老炮儿”还是王石，都没有取得他们预期的舆论信任。  　　不客气地说，电影《老炮儿》充满了逻辑上的不自洽、掩饰、美化甚至谎言。“老炮儿”勾出来的悲情，来自于其“辉煌”的历史，辉煌来自于其权威，权威来自于其适应、创造与保护的秩序，这种秩序是灰色的。他们能依赖这种秩序生存，从中得到多方面的利益，并不全是因为他们够狠够强，而是因为他们善于妥协与交易。  　　在现实生活中，全国各地的“混混”多了去了，能作为佳话流传的，却只有少数一些人。  　　为什么有人说，电影《老炮儿》这部电影，是一部你中有我、我中有你，当年的“大院子弟”，以及“大院子弟”和“胡同串子”双面人的片子？王石，就是这样一个“地产老炮儿”，或者说，作为“外省干部子弟”，他的“江湖血统”，介于“大院子弟”和“胡同串子”之间。他今日的一切悲情，都来自于他商界的成功。这种成功，又与当年“老炮儿”的登顶何其相似。  　　甚至王石当年的攀登珠峰，出国留学，都是一个“地产老炮儿”为了江湖地位自我表彰人格魅力。  　　我并非试图重复“中国原罪”这一陈词滥调。让人难以容忍的不仅是“原罪”，就像没人在意“老炮儿”当年各种劣迹。但把“老炮儿”们美化成英雄，把与江湖上那点事儿的遗痕，装点成战争伤疤，利用大众的情感缺陷，试图获得额外利益，就是另外一回事了。  　　诚然，中国不是没有真正在商言商之人。中国实业界里值得尊重的是老一辈的鲁冠球等企业家。感谢这个“大浪淘沙”的大时代。做不了专业运动员和专业学者、拒绝“在商言商”的王石，迟早会被人们忘记，正在被人们毅然忘记。,负向
8807,65817487,2016-01-05,评论：当讨论德国锅时 我们在谈论什么,　　谈及德国制造，有一篇标题为“为什么德国人不相信物美价廉？他们一口锅能用100年！”的文章热传于中国互联网络。此文作者是德国现代化问题专家李工真。“德国人生产的一口锅，可以用上100年，很多人用的都是奶奶传下的锅。对德国人来说，任何一样厨具，一辈子只需要买一次，不需要买第二次，因为一辈子也用不坏它”，以此为案例，李工真介绍了德国制造取得成功的制度和文化成因。  　　刊登于《参考消息》的一篇文章则指出，“德国的锅具普遍质量很好，如果维护得当，使用二三十年不在话下。一个德国家庭几代人使用同一个品牌锅具的情况非常普遍。一些老人还喜欢把锅具传给下一代”（这篇文章的作者是驻法兰克福记者饶博）。关于德国锅的使用寿命，对比李工真的文章，饶博的文章少了很多年，不是100年，而是二三十年，而且追加了一个前提“如果维护得当”。共同的论据则是一些老人喜欢且能够把锅具传给下一代。  　　什么叫做“维护得当”？炊具如何“维护得当”？就日常经验来看，应该拒绝无水环境下的干烧、用硬物敲打（例如锅铲敲打）、制造刮痕（铁丝球洗锅容易制造刮痕，会严重降低厨具使用寿命）；其实也应该包括一些精密工艺品搬运过程中的“轻拿轻放”这类要求。  　　中国粤菜喜好蒸煮，接近西餐，自然不在话下。用德国锅做宫保鸡丁、干煸四季豆等川菜里的经典菜式，锅的使用寿命会缩短吗？对此的正确回答，需要科学考察。很多知名国产锅，价格几百元，使用过程不规范，其使用寿命也就一两年或者更多一些时间而已。而知名品牌的德国锅，例如WOLL、WMF在国内价格动辄两三千元，如果大量用来油炸、干炒，使用几年后，也会失去刚刚使用时的光亮品质。  　　除了菜品制作方法，同一口锅的使用频率也会影响使用寿命。在老一辈中国人家庭里，锅的品种不太多，很多时候无非就是炒菜锅和煮水锅两种。锅是可以不断分类的，例如有平底锅、煎肉锅、煮菜锅、煮面锅、煮牛奶锅。相对中国家庭，更早步入富裕生活的欧美厨房更加呈现餐具使用的专业性。很多德国家庭的厨房像个实验室，不同型号的锅具、刀具，以至于量杯、量筒等在中国厨房里罕见的用具在西式厨房里司空见惯。中西餐及其制作器材的差异，可以简单地总结为中西思维方式和生活方式的差异，颇类似于中医和西医的差异。  　　自然，德国锅能使用100年这样的说法能流行起来，并非空穴来风，而与德国制造的优秀品质相关。制造德国高端锅具、刀具的材质，很多都是消费用不锈钢中的18/10钢。这种可以用来做医用手术刀的钢品质极高，既卫生又安全。此外，德制锅具导热性颇强，省能耗、且省时间。同等容量的德国锅具的重量普遍高于中国国产锅具，原因就在于锅底的厚度。国产品牌锅普遍重于同等容量的杂牌锅，亦能证明更大的厚度是优质锅的一个重要特点。  　　如上种种因素，加上德国制造本身就有的精益求精品质，德国锅能使用几十年是必然的。德国锅热，与前阵子日本马桶热一样，可谓异曲同工。对后发国家而言，“高素质的劳动力需要一代代人的积累，职业技能培训这件事应该马上抓起来，否则制造业转型升级就是一句空话”，2014年“两会”期间全国人大代表、宝钢集团总经理何文波这席话可谓醍醐灌顶。  　　真的需要一代代人的积累。在“德国锅热”中，值得警惕的是我们对德国的欣赏也如此似是而非。德国锅能用100年还是几十年？这是一个很不符合数学规范的“数学应用”。数学的眼里是最容不得掺沙子的。李工真一文说德国制造最大的成功因素就是“生产过程的和谐与安全”“高科技产品的实用性”，在我们看来，这两点能够成为德国制造的灵魂，塑造了众多“小而强”的制造业典范，进而在充分自由竞争的市场经济基础上培育宝马、奔驰等全球性品牌，最先拒绝的正是这种数理上的模糊性，也即坚守真正的科学方法和彻底的科学精神。,正向
8808,65817491,2016-01-05,中央或拨300亿帮助“僵尸企业”安乐死黑龙江煤城艰难涅槃,中央或拨300亿帮助“僵尸企业”安乐死黑龙江煤城艰难涅槃,负向
8809,65817538,2016-01-05,平安银行深圳分行举行新年客户回馈活动,　　为与客户分享新年快乐，回馈客户的信赖与支持，继圣诞平安夜之后，平安银行深圳分行12月31日又在分行门口平安树下举行了元旦客户回馈活动。本次活动不仅有福娃卡通秀和腰鼓表演，还有拍照分享互动环节，市民在平安树下自拍或者拍摄合影分享到朋友圈就可以抽取新年的小礼品。     平安银行深圳分行公司、零售和小微等条线以及专业支行还特别邀请了一些客户到现场参加活动，现场表演精彩纷呈，气氛热烈，吸引了许多路过的市民与受邀的客户一起参与，大家共享着新年的快乐，现场充满了浓浓的新年气息。     为了在享受节日欢乐的同时，也更多地了解一些金融服务和创新产品，深圳分行还特别在平安树下对专业支行建设、小微金融服务的“一贷一路”、平安三板贷、平安单位结算卡和平安财富权益体系等进行了展示，客户可在现场对相关情况及产品进行了解。在现场购买指定保险或者基金的客户，还可以抽取特别礼物，如保温杯、移动电源等。     平安银行深圳分行领导表示，此次活动主要是为了向市民和客户送上节日的祝福，分行还会在小年、元宵节举行一系列有关平安树主题的客户回馈活动，如小年拍照分享抽取春联、利是封；元宵节猜灯谜赢小礼品等，和鹏城市民过一个平安、祥和、幸福的猴年佳节。,正向
